,Summer (Dec-Feb),Winter (Jun-Aug)
Total Load (kWh),1560.3473333309998,2881.3086666659997
Total Generation (kWh),838.376,460.0399999999999
Average Daily Load (kWh),17.337192592566666,31.318572463760866
Average Daily Generation (kWh),9.315288888888889,5.000434782608695
Max Daily Load (kWh),48.826,104.324666666
Max Daily Generation (kWh),14.097999999999999,7.78
Min Daily Load (kWh),5.326,6.52
Min Daily Generation (kWh),0.012,0.012
Self-Consumption (%),90.79028979837209,99.73828362751065
Days with Excess Generation,27.0,1.0
